name,calories,carbs,fat,category
Kids Steamed Broccoli Side,30,4,0,Kid's Meals
New England Fish & Chips,1930,121,138,Seafood
"Oriental Grilled Chicken Salad, Half",680,55,40,Salads
Potato Skins,1090,66,103,Appetizers
Santa Fe Chicken Salad,530,28,37,Salads
Sizzling Asian Shrimp,850,118,33,Entrees
Small Caesar Salad (with dressing),310,12,27,Sides
Steak Quesadilla Towers,1110,79,73,Appetizers
Tomato Basil Soup,250,28,14,Soups
"Trios Boneless Wings, Southern BBQ",550,42,28,Appetizers
Trios Grilled Chicken Wonton Tacos,430,43,18,Appetizers
Veggie Patch™ Pizza,930,50,67,Appetizers
"Apple Walnut Chicken Salad, Regular",1030,54,67,Salads
Asiago Peppercorn Steak w/sides,380,25,14,Entrees
"Boneless Wings, Classic Buffalo",1160,66,69,Appetizers
Brownie Bite,360,49,17,Desserts
"California Shrimp Salad, Regular",740,21,61,Salads
Chicken Caesar Salad,310,8,20,Salads
Chicken Tenders Basket,102,85,60,Chicken
Chocolate Mousse Shooter,450,42,31,Desserts
Cowboy Burger,1180,77,70,Burgers
Florentine Ravioli with Chicken,1300,77,82,Entrees
Fried Red Potatoes,150,22,5,Sides
Grilled Chicken Wonton Tacos,590,58,24,Appetizers
Hot Fudge Sundae Shooter,350,43,18,Desserts
Kids Chocolate Milk (1% 8oz),215,36,4,Kid's Meals
Kids Milk (1% or 2% 8 oz),130,14,4,Kid's Meals
Kids Strawberry Sundae,260,31,14,Kid's Meals
New York Strip,480,1,24,Entrees
"Oriental Grilled Chicken Salad, Half w/o dressing",340,38,9,Salads
Potato Twisters,970,81,60,Appetizers
"Santa Fe Chicken Salad, Half",940,52,73,Salads
Sizzling Cajun Steak & Shrimp,850,63,41,Entrees
Smothered Grilled Chicken,860,61,41,Chicken
Steakhouse Burger with A.1.® Steak Sauce,1250,68,84,Burgers
"Trios Boneless Wings, Sweet & spicy sauce",570,45,28,Appetizers
Trios Mozzarella Sticks,430,39,21,Appetizers
Weight Watchers® Cajun Lime Tilapia,350,43,5,Seafood
"Apple Walnut Chicken Salad, Regular w/o dressing",470,18,22,Salads
Bacon Cheddar Cheeseburger,970,51,60,Burgers
"Boneless Wings, Honey BBQ",1250,16,55,Appetizers
Bruschetta Chicken,850,56,42,Chicken
"California Shrimp Salad, Regular w/o dressing",380,16,24,Salads
Chicken Fajita Rollup,850,63,62,Sandwiches
Chicken Tenders Platter,1320,107,78,Chicken
Clam Chowder,350,22,24,Soups
Crispy Orange Chicken,1520,208,53,Chicken
French Dip Sliders,840,75,49,Burgers
"Fries, Side",390,53,18,French Fries
Grilled Dijon Chicken & Portobellos,470,30,16,Entrees
House Salad,120,9,8,Salads
Kids Corn Dog,260,28,14,Kid's Meals
Kids Mini Cheeseburger – 1,430,24,30,Kid's Meals
Kids Tropicana Fruit Punch (12 oz),70,19,0,Kid's Meals
Orange Glazed Salmon,730,98,17,Seafood
"Oriental Grilled Chicken Salad, Regular",1290,92,79,Salads
Provolone-Stuffed Meatballs with Fettuccine,1520,116,90,Entrees
"Santa Fe Chicken Salad, Half w/o dressing",760,49,55,Salads
Sizzling Chicken with Spicy Queso Blanco,570,40,22,Entrees
Southwest Jalapeño Burger,1140,68,72,Burgers
Strawberry Cheesecake Shooter,380,37,23,Desserts
Trios Cheese Quesadilla Grande,510,31,44,Appetizers
Trios Pork Wonton Tacos,560,48,28,Appetizers
Weight Watchers® Chipotle Lime Chicken,490,51,12,Chicken
Shroom & Swiss,520,46,28,Sandwiches
Smokin’ Chipotle Chicken*,590,60,23,Sandwiches
Roast Turkey & Swiss Wrap,500,42,24,Wraps
Potato Cakes (3),390,42,23,Sides
CapriSun® Fruit Juice,80,21,0,Kid's Meals
Jamocha Oreo® Shake - Small,460,85,15,Shakes
Chocolate Turnover,510,67,25,Desserts
"Ham, Egg & Cheese Croissant",270,22,14,Breakfast
Chocolate Chunk Cookies (2),420,54,21,Desserts
Roast Beef Classic,360,37,14,Sandwiches
Deluxe Bacon Cheddar,430,42,19,Sandwiches
Roast Chicken Club,460,41,18,Sandwiches
"Roast Turkey, Ranch & Bacon Sandwich",810,78,36,Sandwiches
Potato Cakes (4),510,57,30,Sides
Jamocha Oreo® Swirl Shake - Regular,630,115,20,Shakes
Jr Chocolate Shake,350,60,9,Shakes
Outside-In Cinnamon Bites™,300,36,15,Breakfast
Jalapeno Bites® – (5),300,31,17,Sides
Roast Beef Mild,470,38,22,Sandwiches
French Dip & Swiss/Au Jus,450,51,17,Sandwiches
Prime-Cut™ Chicken Tenders (3),360,31,17,Chicken
"Roast Turkey, Ranch & Bacon Wrap",600,42,32,Wraps
Steakhouse Onion Rings (5),460,56,24,Sides
Vanilla Shake - Small,380,60,12,Shakes
Jr Jamocha Shake,350,60,9,Shakes
Classic Italian Toasted Sub,590,47,37,Sandwiches
Jalapeno Bites® – (8),470,49,27,Sides
Roast Beef Max,610,46,29,Sandwiches
Angus Three Cheese & Bacon Sandwich,660,46,33,Sandwiches
Prime-Cut™ Chicken Tenders (5),610,52,28,Chicken
Chopped Farmhouse Chicken Salad – Crispy,430,30,24,Salads
Mozzarella Sticks – (4),440,39,23,Sides
Vanilla Shake - Regular,480,74,15,Shakes
Jr Vanilla Shake,290,45,9,Shakes
Turkey Bacon Club Toasted Sub,480,47,21,Sandwiches
Loaded Potato Bites® – (5),350,32,21,Sides
Arby’s Sauce® Adds,15,3,0,Sandwiches
Angus Cool Deli Sandwich,640,47,35,Sandwiches
Tangy Barbeque Sauce Adds,45,11,0,Sides
Chopped Farmhouse Chicken Salad – Roast,250,11,13,Salads
Mozzarella Sticks – (6),660,59,34,Sides
Jr Roast Beef Sandwich,210,24,8,Sandwiches
Sausage Biscuit,460,33,31,Breakfast
Chicken Cordon Bleu – Crispy,620,51,30,Chicken
Loaded Potato Bites® – (8),570,51,34,Sides
Horsey Sauce® Adds,50,3,5,Sandwiches
Angus Cool Deli Wrap,620,41,36,Wraps
Buffalo Dipping Sauce Adds,10,1,1,Sides
Chopped Side Salad,70,4,5,Salads
Jr Roast Beef,210,24,8,Kid's Meals
1% Lowfat Chocolate Milk*,160,28,2,Kid's Meals
Jr Chicken Sandwich,340,33,17,Sandwiches
Sausage Gravy Biscuit,460,45,26,Breakfast
Chicken Cordon Bleu – Roast,490,40,21,Chicken
Homestyle Fries – Kids,240,35,10,Kid's Meals
Beef'n Cheddar Classic,450,43,21,Sandwiches
Cravin’ Chicken Sandwich – Crispy,500,53,21,Sandwiches
Honey Dijon Mustard Sauce Adds,140,5,13,Sides
Curly Fries – Small,450,55,24,French Fries
Prime-Cut™ Chicken Tenders - (2),240,21,11,Kid's Meals
Chocolate Shake - Small,450,75,12,Shakes
Jr Ham & Cheddar Sandwich,210,26,6,Sandwiches
Chicken Biscuit*,350,39,15,Breakfast
Super Roast Beef,440,44,20,Sandwiches
Homestyle Fries – Small,360,52,16,French Fries
Beef'n Cheddar Mild,550,43,28,Sandwiches
Cravin’ Chicken Sandwich – Roast,370,42,12,Sandwiches
Ranch Dipping Sauce Adds,160,2,16,Sides
Curly Fries – Medium,600,74,31,French Fries
Curly Fries – Kids,270,33,14,Kid's Meals
Chocolate Shake - Regular,570,98,15,Shakes
Curly Fries – Value,270,33,14,French Fries
"Bacon, Egg & Cheese Biscuit",450,34,26,Breakfast
Arby’s Melt,390,39,16,Sandwiches
Homestyle Fries – Medium,480,69,21,French Fries
Beef'n Cheddar Max,680,46,37,Sandwiches
Chicken Bacon & Swiss – Crispy,600,53,28,Sandwiches
Reuben Sandwich,700,64,32,Sandwiches
Curly Fries – Large,710,87,37,French Fries
Potato Cakes (2),260,28,15,Kid's Meals
Jamocha Shake - Small,440,75,12,Shakes
Apple Turnover,440,68,17,Desserts
"Sausage, Egg & Cheese Wrap",740,45,47,Breakfast
Ham & Swiss Melt,300,37,8,Sandwiches
Homestyle Fries – Large,610,86,26,French Fries
Bacon Beef ‘n Cheddar,520,43,26,Sandwiches
Chicken Bacon & Swiss – Roast,470,43,19,Sandwiches
Roast Turkey & Swiss Sandwich,710,78,28,Sandwiches
Potato Cakes (2),260,28,15,Sides
Applesauce,80,21,0,Kid's Meals
Jamocha Shake - Regular,570,97,15,Shakes
Cherry Turnover,440,67,17,Desserts
"Ham, Egg & Cheese Sourdough",480,46,20,Breakfast
Jr Deluxe Sandwich,270,25,14,Sandwiches
Bistro Chicken Press,780,59,41,Sandwiches
Kid’S Grilled Cheese,390,46,15,Kid's Meals
Baked Potato,230,23,13,Soups
New England Clam Chowder,190,16,9,Soups
Basil Pesto Pasta,500,6,10,Entrees
French Toast With Maple Syrup,640,121,11,Breakfast
Asiago Bagel,390,53,11,Breakfast
Olive Cream Cheese,180,2,17,Breakfast
Bear Claw,540,71,24,Breakfast
Cheese Croissant,360,41,19,Breakfast
Shortbread Cookie,410,45,24,Desserts
Asiago Focaccia,290,39,9,Breads
Honey Maple Ham On Honey Wheat,410,64,5,Sandwiches
Chicken Waldorf,450,29,29,Sandwiches
Balsamic Bleu Salad,330,35,18,Salads
Homestyle Chicken & Dumpling,400,17,34,Soups
Chicken Pesto Calzone,840,95,33,Pizzas
Penne Pomodoro,970,79,43,Entrees
Scrambled Eggs,190,1,13,Breakfast
Banana Nut Muffin,610,63,36,Breakfast
Banana Nut Muffin Top,420,39,26,Breakfast
Pecan Roll,860,72,59,Breakfast
Chocolate Toffee Cookie,410,56,19,Desserts
Key Lime Pie,520,65,26,Desserts
Rye Loaf,90,18,1,Breads
Tuna Salad On French,630,57,33,Sandwiches
Chicken Pesto Panini,710,80,26,Sandwiches
Chopstix Chicken Salad,240,22,10,Salads
Frontier Chicken Chili,290,26,10,Soups
Four Cheese Pizza,530,46,23,Pizzas
"Bacon, Egg & Cheese Sandwich",490,52,21,Breakfast
Ham & Swiss Omelette,500,3,35,Breakfast
Blueberry Muffin,320,41,15,Breakfast
Blueberry Muffin Top,250,31,12,Breakfast
Raspberry Cheese Danish,440,63,18,Breakfast
Toffee Chocolate Chunk Cookie,460,59,23,Desserts
Cookies And Cream Cheesecake,440,46,26,Desserts
Sourdough Baguette,90,18,0,Breads
Bella Chicken Sandwich,610,34,38,Sandwiches
Turkey Club Panini,710,81,24,Sandwiches
House Salad,90,13,2,Salads
Chicken Peppercorn,430,13,34,Soups
Asiago Cream Pasta,920,76,50,Entrees
Belgian Waffle With Maple Syrup & Whipped Cream,530,83,18,Breakfast
Tomato Bacon Omelette,360,3,27,Breakfast
Cinnamon Raisin Bagel,270,55,1,Breakfast
Honey Raisin Walnut Cream Cheese,190,14,14,Breakfast
